ds;y;High;Low;Close;Adj Close;Volume
2018-02-02;11996.016602;12044.420898;11740.606445;11839.474609;7871.642090;187962
2018-05-02;11792.100586;12018.673828;11586.125000;11927.014648;7929.846680;164522
2018-06-02;11627.320313;11834.325195;11601.573242;11645.858398;7742.913574;297512
2018-07-02;11812.698242;11855.953125;11539.780273;11604.663086;7715.525879;184585
2018-08-02;11574.796875;11586.125000;11349.252930;11441.942383;7607.338379;158431
2018-09-02;11267.892578;11688.083008;11231.846680;11432.672852;7601.175293;207037
2018-12-02;11591.274414;11628.349609;11454.300781;11480.047852;7632.672852;129502
2018-02-13;11530.511719;11843.594727;11454.300781;11843.594727;7874.382324;207778
2018-02-14;11844.624023;12112.392578;11802.399414;12112.392578;8053.096191;257189
2018-02-15;12152.557617;12327.636719;12111.362305;12137.109375;8069.528809;306337
2018-02-16;12142.258789;12151.528320;10733.386719;11132.978516;7401.919434;1107602
2018-02-19;11132.978516;11618.051758;10824.015625;11504.764648;7649.105957;563652
2018-02-20;11524.332031;11579.946289;11277.162109;11390.448242;7573.102051;351747
2018-02-21;11328.655273;11987.777344;11327.625977;11637.619141;7737.437500;501353
2018-02-22;11587.155273;11739.577148;11438.852539;11718.979492;7791.531250;207651
2018-02-26;11915.685547;12249.366211;11778.711914;12237.007813;8135.949219;353352
2018-02-27;12245.247070;12253.486328;11848.744141;11895.088867;7908.619629;257966
2018-02-28;11843.594727;11843.594727;11467.689453;11492.406250;7640.889648;337037
2018-01-03;11429.583984;11614.961914;11350.283203;11519.182617;7658.693359;173423
2018-02-03;11484.166992;11585.094727;11366.760742;11584.065430;7701.830566;134161
2018-05-03;11606.722656;11734.427734;11463.569336;11533.601563;7668.279297;153864
2018-06-03;11544.929688;11736.487305;11081.485352;11494.465820;7642.260254;519184
2018-07-03;11468.718750;11509.914063;11339.984375;11493.436523;7641.574219;151271
2018-09-03;11462.540039;11624.230469;11239.056641;11319.386719;7525.855957;141256
2018-12-03;11479.017578;11543.900391;11354.402344;11490.346680;7639.519531;107273
2018-03-13;11424.434570;11480.047852;11364.701172;11432.672852;7601.175293;96175
2018-03-14;11394.567383;11410.015625;11122.679688;11206.100586;7450.535645;206210
2018-03-15;11163.875000;11259.654297;11045.439453;11179.323242;7432.732910;167907
2018-03-16;11153.576172;11321.446289;11083.544922;11253.474609;7482.032715;205744
2018-03-19;11266.863281;11350.283203;11218.458984;11236.996094;7471.075684;79632
2018-03-20;11267.892578;11281.281250;11081.485352;11267.892578;7491.618652;129326
2018-03-21;11262.743164;11373.970703;11184.472656;11258.624023;7485.456543;107036
2018-03-22;11269.952148;11397.657227;11199.920898;11331.745117;7534.072266;91021
2018-03-23;11256.564453;11326.595703;11081.485352;11326.595703;7530.649414;134638
2018-03-26;11280.250977;11280.250977;11088.694336;11088.694336;7372.477051;90631
2018-03-27;11122.679688;11169.024414;10987.765625;11048.529297;7345.773438;119087
2018-03-28;11018.662109;11104.142578;10945.541016;11014.542969;7323.175293;93812
2018-03-29;11049.558594;11117.530273;10978.497070;11117.530273;7391.647949;117349
2018-03-30;11101.052734;11122.679688;11060.887695;11081.485352;7367.683105;27480
2018-02-04;11108.261719;11339.984375;11082.514648;11122.679688;7395.071777;93587
2018-03-04;11132.978516;11198.890625;11038.230469;11142.248047;7408.082520;104323
2018-04-04;11152.546875;11212.279297;10999.094727;11048.529297;7345.773438;145427
2018-05-04;11096.933594;11142.248047;10980.556641;11065.006836;7356.726563;138385
2018-06-04;11009.393555;11074.275391;10937.301758;11010.423828;7320.437012;115974
2018-09-04;10940.391602;10942.451172;9087.641602;9415.142578;6259.791992;1189417
2018-10-04;9517.100586;10296.717773;9371.887695;10103.100586;6717.190918;684380
2018-11-04;10103.100586;10652.026367;9949.649414;10183.431641;6770.600098;400963
2018-12-04;10199.909180;10684.982422;9947.589844;10679.833008;7100.638672;389286
2018-04-13;10675.712891;10885.808594;10556.247070;10803.417969;7182.806641;309962
2018-04-16;10563.456055;10997.035156;10070.144531;10195.790039;6778.815918;563249
2018-04-17;10597.442383;10679.833008;10361.600586;10534.620117;7004.091797;272457
2018-04-18;10561.396484;10990.855469;10515.051758;10990.855469;7307.427734;358427
2018-04-19;11071.186523;11405.896484;10834.314453;11004.244141;7316.328613;407263
2018-04-20;10999.094727;11050.588867;10839.463867;10852.852539;7215.673828;106568
2018-04-23;10922.883789;11215.369141;10715.877930;11199.920898;7446.426270;323954
2018-04-24;11235.966797;11258.624023;11047.499023;11184.472656;7436.156738;124214
2018-04-25;11122.679688;11213.309570;11040.290039;11125.769531;7397.127441;123200
2018-04-26;11122.679688;11316.296875;11078.395508;11316.296875;7523.800781;172461
2018-04-27;11308.057617;11328.655273;11098.993164;11317.327148;7524.484863;136151
2018-04-30;11291.580078;11313.207031;11128.859375;11137.098633;7404.658691;76615
2018-02-05;11157.696289;11447.091797;11123.709961;11369.850586;7559.407715;145579
2018-03-05;11338.954102;11429.583984;11225.667969;11230.817383;7466.968262;106012
2018-04-05;11229.787109;11359.551758;11199.920898;11324.536133;7529.279785;104424
2018-07-05;11375.000000;11544.929688;11364.701172;11483.137695;7634.726563;96686
2018-08-05;11485.197266;11487.256836;11197.861328;11425.463867;7596.381836;219482
2018-10-05;11382.208984;11395.597656;10983.646484;11050.588867;7347.141113;336149
2018-11-05;11081.485352;11151.516602;10982.616211;11042.349609;7341.663574;104238
2018-05-14;11074.275391;11111.351563;10945.541016;11100.022461;7380.009277;119621
2018-05-15;11100.022461;11261.713867;10983.646484;11241.116211;7473.816895;201119
2018-05-16;11225.667969;11338.954102;11102.082031;11114.441406;7389.594238;146221
2018-05-17;11157.696289;11162.845703;11052.648438;11114.441406;7389.594238;160220
2018-05-18;11118.560547;11170.054688;11025.871094;11072.215820;7361.520996;118488
2018-05-21;11075.305664;11377.059570;11075.305664;11282.311523;7501.205078;152263
2018-05-22;11246.265625;11405.896484;11155.635742;11326.595703;7530.649414;134610
2018-05-23;11260.683594;11348.223633;11174.173828;11174.173828;7429.308105;121172
2018-05-24;11211.250000;11304.968750;11144.307617;11205.070313;7449.850098;88031
2018-05-25;11328.655273;11440.912109;11267.892578;11404.866211;7582.688477;177761
2018-05-28;11382.208984;11507.854492;11382.208984;11503.734375;7648.420898;50108
2018-05-29;11501.674805;11531.541992;11372.940430;11472.838867;7627.879883;96083
2018-05-30;11475.927734;11595.393555;11341.014648;11452.241211;7614.185059;144750
2018-05-31;11431.643555;11516.093750;11352.342773;11442.971680;7608.022949;238964
2018-01-06;11474.898438;11702.500977;11405.896484;11483.137695;7634.726563;161304
2018-04-06;11531.541992;11816.817383;11531.541992;11816.817383;7856.579590;112779
2018-05-06;11822.997070;11936.283203;11759.144531;11870.371094;7892.185059;86886
2018-06-06;11888.909180;11987.777344;11762.234375;11987.777344;7970.245605;127950
2018-07-06;11961.000977;12089.735352;11864.192383;11991.896484;7972.983398;100490
2018-08-06;11987.777344;12085.616211;11701.471680;11714.859375;7788.791992;151674
2018-11-06;11800.339844;11936.283203;11720.008789;11843.594727;7874.382324;53171
2018-06-13;11833.295898;11910.536133;11609.812500;11611.872070;7720.317871;136221
2018-06-14;11604.663086;11632.469727;11416.195313;11494.465820;7642.260254;131502
2018-06-15;11506.824219;11588.184570;11388.388672;11396.627930;7577.211914;183233
2018-06-18;11380.149414;11498.585938;11339.984375;11381.179688;7566.939453;96915
2018-06-19;11357.492188;11534.630859;11185.502930;11458.419922;7618.293945;179981
2018-06-20;11480.047852;11689.113281;11480.047852;11578.916016;7698.408203;171616
2018-06-21;11586.125000;11680.874023;11544.929688;11559.348633;7685.398438;110682
2018-06-22;11606.722656;11723.098633;11534.630859;11610.841797;7719.634277;88539
2018-06-25;11536.691406;11830.206055;11535.661133;11622.170898;7727.165527;122869
2018-06-26;11642.768555;11740.606445;11541.839844;11557.288086;7684.027832;58554
2018-06-27;11541.839844;11606.722656;11383.239258;11431.643555;7600.490723;223067
2018-06-28;11596.423828;11637.619141;11411.045898;11451.210938;7613.500000;138498
2018-06-29;11504.764648;11739.577148;11484.166992;11739.577148;7805.225586;156176
2018-02-07;11688.083008;11971.299805;11641.738281;11928.044922;7930.530762;145114
2018-03-07;11970.269531;11992.926758;11806.518555;11884.790039;7901.771973;92508
2018-04-07;11895.088867;11948.641602;11779.742188;11800.339844;7845.625000;107340
2018-05-07;11821.966797;11946.582031;11721.039063;11911.566406;7919.573730;234197
2018-06-07;11905.386719;12097.974609;11875.520508;12047.510742;8009.959473;145391
2018-09-07;12101.064453;12239.067383;11998.076172;12149.467773;8077.746094;165216
2018-10-07;12159.766602;12222.589844;11998.076172;12032.062500;7999.687988;161052
2018-11-07;11996.016602;11996.016602;11596.423828;11596.423828;7710.048828;344872
2018-12-07;11689.113281;11729.278320;11535.661133;11698.381836;7777.835938;201312
2018-07-13;11688.083008;11822.997070;11638.648438;11697.351563;7777.150391;263717
2018-07-16;11254.504883;11296.729492;10948.630859;11012.483398;7723.227539;260174
2018-07-17;10994.975586;10994.975586;10782.820313;10927.002930;7663.278320;177695
2018-07-18;10938.332031;10985.706055;10787.969727;10889.927734;7637.276855;187277
2018-07-19;10875.509766;10906.405273;10587.143555;10652.026367;7470.433594;134554
2018-07-20;10659.235352;10759.132813;10477.976563;10561.396484;7406.874023;173464
2018-07-23;10585.083984;10745.745117;10525.350586;10622.159180;7449.487305;96336
2018-07-24;10662.324219;11112.380859;10647.906250;11081.485352;7771.620117;273450
2018-07-25;11018.662109;11207.129883;10884.778320;11169.024414;7833.013184;145126
2018-07-26;11194.771484;11265.833008;11057.797852;11150.486328;7820.012695;142051
2018-07-27;11122.679688;11195.801758;10987.765625;11172.114258;7835.179199;104251
2018-07-30;11138.127930;11261.713867;11060.887695;11190.652344;7848.181152;95583
2018-07-31;11174.173828;11265.833008;11045.439453;11207.129883;7859.737305;132272
2018-01-08;11204.040039;11228.757813;11081.485352;11104.142578;7787.508789;78611
2018-02-08;11067.066406;11103.112305;10908.465820;11019.692383;7728.283203;121899
2018-03-08;10987.765625;11137.098633;10831.224609;11137.098633;7810.622070;107154
2018-06-08;11103.112305;11163.875000;10970.257813;11091.784180;7778.843750;77291
2018-07-08;11102.082031;11171.083984;11035.140625;11153.576172;7822.177734;81799
2018-08-08;11153.576172;11174.173828;10968.198242;11153.576172;7822.177734;177980
2018-09-08;11143.277344;11327.625977;11055.738281;11327.625977;7944.242188;268669
2018-10-08;10916.704102;11122.679688;10799.298828;11122.679688;7800.511230;425527
2018-08-13;11071.186523;11431.643555;11057.797852;11333.804688;7948.576172;287415
2018-08-14;11436.792969;11525.362305;11252.444336;11318.356445;7937.741211;239323
2018-08-15;11299.819336;11328.655273;11185.502930;11328.655273;7944.964844;244481
2018-08-16;11328.655273;11397.657227;11167.995117;11226.697266;7873.458008;139567
2018-08-17;11254.504883;11305.998047;11102.082031;11144.307617;7815.678711;148401
2018-08-20;11185.502930;11328.655273;11162.845703;11277.162109;7908.851074;149672
2018-08-21;11301.878906;11344.103516;11216.399414;11256.564453;7894.405273;117420
2018-08-22;11273.041992;11404.866211;11221.547852;11404.866211;7998.411621;193954
2018-08-23;11362.641602;11469.749023;11247.294922;11277.162109;7908.851074;145105
2018-08-24;11258.624023;11364.701172;11235.966797;11344.103516;7955.798828;90702
2018-08-27;11359.551758;11402.806641;11314.237305;11402.806641;7996.967773;64105
2018-08-28;11392.507813;11675.724609;11390.448242;11586.125000;8125.531738;271473
2018-08-29;11586.125000;11722.069336;11565.527344;11676.753906;8189.091797;123323
2018-08-30;11718.979492;11725.158203;11549.049805;11598.483398;8134.198730;132378
2018-08-31;11575.826172;11646.887695;11516.093750;11555.228516;8103.864258;121045
2018-03-09;11558.318359;11661.305664;11534.630859;11624.230469;8152.254883;61467
2018-04-09;11606.722656;11662.335938;11490.346680;11586.125000;8125.531738;90305
2018-05-09;11570.676758;11574.796875;11468.718750;11468.718750;8043.193359;91546
2018-06-09;11488.287109;11642.768555;11457.390625;11540.810547;8093.751953;98853
2018-07-09;11543.900391;11635.559570;11450.181641;11534.630859;8089.417969;97793
2018-10-09;11555.228516;11707.650391;11545.959961;11704.560547;8208.591797;109942
2018-11-09;11671.604492;11822.997070;11627.320313;11798.280273;8274.319336;171143
2018-12-09;11791.070313;11913.625977;11762.234375;11910.536133;8353.046875;111790
2018-09-13;11906.416992;12018.673828;11870.371094;11984.687500;8405.049805;96908
2018-09-14;11998.076172;11998.076172;11848.744141;11869.341797;8324.155273;89525
2018-09-17;11864.192383;11884.790039;11692.202148;11884.790039;8334.990234;113395
2018-09-18;11864.192383;11977.478516;11853.893555;11933.194336;8368.936523;103201
